sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
یوسف,۵,استرامبولی ضعیف بود واقعاً خیلی افت کیفیت داشتید,پاپ فرایز
حسام,۳,حجم غذا اصلا به قیمتش نمی خورد.,استرا رست
محمد,۴,چندین سال هست از شما خرید میکنم ساندویچ های هات داگ نسبت به جاهای دیگر خیلی مناسب نیست و خالی هست، همینطور لطفا به منو سایر چیزها مثل پاستا هم اضافه کنید.,ساندویچ هات داگ ویژه
شیرین,۵,خوب بود,سیب زمینی پنیر ویژه
نسی,۲,خیلی شور بود و اصلا کیفیت نداشت,استرامبولی استراپستو
الهام,۴,خوب بود کیفیت گوشت ، پخت و مزه خوب بود,ماشروم برگر
علیرضا,۵,خیلی خوب بود ممنون,چیز برگر فرانسوی (پرسی)
سورن,۵,عالییییی,پیتزا چهارفصل (ایتالیایی)
شادی,۵,داغ و سریع و خوشمزه ارسال کردن ممنونم,پیتزا چهارفصل (ایتالیایی)
Elahe,۵,مثل همیشه عاااااالی,پیتزا چانو (ایتالیایی)
مهناز,۵,مثل همیشه عالی,مگا کمبو
حافظ,۵,آقای گودرزی پیک مجموعه هم بسیار خوش رفتار بودند,سوپر برگر (پرسی)
راضیه,۵,میتادیا پیتزای محبوب من تو سری لاتینو‌. گرم به دستم رسید.,پیتزا لاتینو میتادیا
هلیا,۵,"مواد اولیه خیلی تازه و با کیفیت بود
خیلی زود و گرم به دستم رسید
حجم غذا زیاد بود و دو نفر کامل سیر شدیم 
همراه غذا برامون از محصولات شیبا فرستاده بودن که خیلی عالی بود و واقعا چسبید",پیتزا میکس (آمریکایی)
محمد,۲,متاسفانه علیرغم این که همیشه کیفیت سیب خوبه، این سری پیتزا بیکن اصلا خوب نبود و بسیار سرد بود,پیتزا بیکن (ایتالیایی)
رضا,۵,عالی بود ممنون,پیتزا بیکن (ایتالیایی)
Neda,۵,مثل همیشه عالی بود,استرامبولی استرا هات
السا,۵,مثل همیشه عالی,پیتزا چیکن گورمه (ایتالیایی)
مریم,۵,عالی,پیتزا پپرونی (ایتالیایی)
امیر,۵,لذت بردم ، همه چی عالی بود,پیتزا میکس (آمریکایی)
Neda,۵,مثل همیشه عالی,استرا رست
حمید,۲,زیاد تو فر مونده بود پنیر پیتزا قهوه ای متمایل به سیاه شده بود.,پیتزا چیکن گورمه (ایتالیایی)
فاطمه,۲,ساندویچ کیفیتش پایین بود.,ساندویچ مرغ ویژه
مریم,۵,عالی بود متشکرم,پیتزا بیف گورمه (ایتالیایی)
Hadi,۴,عالي بود ولي سرد شده بود و سيب زميني ها بيات بود,سوپر برگر (پرسی)
مهرنوش,۲,غذا سرد به دستم رسید,پیتزا سبزیجات (آمریکایی)
نگار,۵,همه چی عالی بود عالی و خوشمزه,پیتزا بیف گورمه (ایتالیایی)
محمد,۴,پیتزا خوشمزه بود ولی کمی سرد شده بود. سوپر برگر پرسی خیلی خوشمطه بود اما پنیر دیپ زیر سیب زمینی ریخته شده بود و همش اسراف شد. ارسال تقریبا ۴۰ دقیقه زمان برد,پیتزا بیکن (ایتالیایی)
علی,۳,غذا ها کیفیت خوبی داشت ولی خیلی دیر اومد معلوم بود پیک غذای چنتا مشتری رو یه جا تحویل داده(پیک خود فروشنده بود) غذا سرد که هیچ یخ به دستم رسید،یک ساعت و نیم طول کشید,چیز برگر
مینو,۵,خیلی خوب,ساندویچ سوچیک
مهدی,۵,کیفیت فوق العاده و زود رساندن غذا,پیتزا کاپریچیوزا (ایتالیایی)
الهام,۴,خوب بود کیفیت و طعم بسته بندی,استراجین
masoud,۱,تاخیر دو ساعته,نوشابه قوطی کوکا کولا
محمد,۴,تنها اشکال این بود که سرد به رستم رسید,ساندویچ مرغ ویژه
اویده,۵,مثل همیشه عالی,سیب زمینی
آرزو,۲,سلام  متاسفانه غذا بسیار سرد بود,پیتزا سبزیجات (آمریکایی)
اميد,۳,کیفیت پیتزا به نسبت قبل ضعیف شده بود،مخصوصا خمیر پیتزا،که تقریبا نیمه پخت بود.,پیتزا پپرونی (آمریکایی)
بهداد,۵,بسیار بسیار عالی,هالوپینو برگر
زینب,۵,مثل همیشه عالی,ساندویچ هات داگ ویژه
غزل,۵,خوب بود ، راضی بودیم . خیلی ممنون,پیتزا چهارفصل (ایتالیایی)
ملیکا,۵,خوب بود راضی بودم ولی یکم سرد شده بود,پیتزا چهارفصل (ایتالیایی)
الهام,۴,سرد به دستم رسید . هرجا سفارش دادم پیتزا رو تو یه پاکت دیگه میزاشتن اما اینجا همونجوری جعبه پیتزا رو داده بودن پیک اورده بود,ماءالشعیر قوطی هی دی کلاسیک
سميرا,۵,عالي مثل هميشه,پیتزا بیکن (ایتالیایی)
درسا,۱,غذا به شدت سرد بود و اصلا متوجه نمیشم که چطور ممکنه از سر خیابون تا مقصد من غذا به این روز بیفته!افتضاح ترین.,چیکوچی
محبوبه,۳,سرد بود,پیتزا چانو (ایتالیایی)
آرتین,۳,غذا بسیار سرد بود.,پیتزا پپرونی (ایتالیایی)
امیرحسین,۲,در حد ۱ نفرم نبود نصف خمیرم خالی بود در کل خیلی نسبت به حجم گرون بود,پیتزا پپرونی (آمریکایی)
فاطمه,۵,خیلی عالی و با کیفیت بود,استرامیت
يكتا,۱,غذا فوق العاده دیر رسید بعد از یک ساعت و نیم و کاملا سرد بود !,پیتزا توکیو (آمریکایی)
المیرا,۱,بیشتر حجم ساندویچ نان بود، اول و اخر ساندویچ خالی بود، رست بیف به هیچ وجه مزه مشخصی نداشت، و به قیمتش اصلا نمیارزید,ساندویچ هات داگ ویژه
غزل,۵,خيلي خوب بود و داغ بود,کانتری
حسین,,متاسفانه علاوه بر تاخیر در ارسال، پیتزا به اندازه ای سرد بود که قابل خوردن نبود و مجبور شدیم با مایکروفر گرم کنیم!!!,پیتزا کاپریچیوزا (ایتالیایی)
محمد جواد,۳,"تقریبا یک ساعت طول کشید تا ساندویچ سرد شده منو به دستم برسونن...و تازه بدون سس!
کیفیت هم که اصلا اونطور که انتظار داشتم نبود
نمی‌دونم چی بگم واقعا...دیگه معمولی ترین فست فودی ها هم حداقل سس مشتریشونو تامین میکنن",ساندویچ مرغ ویژه
احسان,,تاخیر یک ساعته، غیر قابل قبول,چیکوچی
سحر,۱,واقعا افتضاح بود پیتزای کالزونه داخلش خمیرش نپخته بود روش کنجد ریخته بودن مزه ی نون بربری میداد ،ما اسهال شدیم,پیتزا میکس کالزون (آمریکایی)
آزاده,۵,عالی بود,پیتزا چیکن گورمه (ایتالیایی)
سروش,۵,مقدار سیر در نان سیر کمی زیاد است,نان سیر
الهام,۵,پیتزا خوشمزه بود ولی متاسفانه سرد بود,پیتزا پپرونی (ایتالیایی)
Nima,۵,خیلی عالی و خوش طعم بود مرسی ممنون,پیتزا چهارفصل (ایتالیایی)
Arman,۴,غذا بسیار سرد بود اما کیفیت مثل همیشه خوب بود اما خیلی سرد بود,پیتزا پپرونی (ایتالیایی)
Arefeh,۳,سرد بودن غذا,نان سیر
مهدی,۱,خام و خمیر مثل همیشه,پیتزا میکس (آمریکایی)
انسیه,۵,استرامبولی ها طعم متفاوت وعالی داشت,استراپستو
asad,,زمان آماده سازی و ارسال طولانی بود,پیتزا گوشت و قارچ (آمریکایی)
شادان,۲,غذا سرد بود,پیتزا پپرونی (ایتالیایی)
فریده,۵,همه چی عالی,پیتزا گوشت و قارچ (آمریکایی)
سیدمصطفی,۵,عالی و ارسال سریع,استار کمبو (۲)
حمیدرضا,,تمام غذاهایی که سفارش داده بودم تمامشان سرد بود و‌داغ نبود,پیتزا بیف گورمه (ایتالیایی)
Aylin,۳,سرد بود البته خب اون روز بارونی هم بود هوا شاید به همین دلیل بوده ولی در کل طعمش خوب بود,پیتزا چانو (ایتالیایی)
سامیار,۵,عالییییی بود,پیتزا پپرونی (ایتالیایی)
مریم,,"سرد بود 
سرد سرد",پیتزا پپرونی (ایتالیایی)
Marzie,۵,پیتزا خیلی خوب بود فقط یکم خشک بود,پیتزا چانو (ایتالیایی)
حسین,۵,گرم و به موقع رسید عالی بود طعم هم خوب بود,فمیلی کمبو (۴)
امیرمحمد,۱,خیلیییییییییییییی دیرتحویل دادن,پیتزا میکس (آمریکایی)
فرشته,۴,غذا خيلي سرد بدستمون رسيد متاسفانه,پیتزا چیکن گورمه (ایتالیایی)
آرمین,۲,غذا بسیار سرد بود به طوری که مجبور شدیم دوباره گرمش کنیم. پیتزایی هم که دوباره گرم بشه کیفیتش داغون میشه. نوشابه ها یکی گرم بود ولی یکیش خوب و خنک بود.,پیتزا چهارفصل (ایتالیایی)
پوریا,۵,خوب بود وخوشمزه,پیتزا چیکن گورمه (ایتالیایی)
محمد,۴,خمیر تحویل میدین هرسری که ما سفارش دادیم,استار کمبو (۲)
احمد,۳,هر دفعه سیب زمینی اش کمتر از دفعه قبل میشود ...,سوپر برگر (پرسی)
محمد,۲,سفارش با بیش از یک ساعت تاخیر فرستاده شد!! درحالیکه با رستوران ۱۰ دقیقه فاصله داشتیم! غذا هم تقریبا سرد بود,میکس کمبو (۱)
حسین,۵,خیلی خوب بود هم خوشمزه بود هم گرم گرم بود مرسی,پیتزا پپرونی (ایتالیایی)
فدا,۳,بر خلاف دفعات قبل که به موقع میرسید، غذا بعد از یک و نیم ساعت رسید که مهمان داشتم و واقعا ناخوشایند بود.,اکو کمبو چهار
وحید,۵,خوشمزه بود. مخصوصا پیتزای کودکش که اسباب بازی هم داشت خیلی پسرم رو خوشحال کرد,غذای کودک (پسرانه)
شاهرخ,۵,به سیب امتیاز ۲۰ میدیم. ولی به اسنپ و سرویس به خاطر دیرکرد ۲ سااته نمره ۱ میدیم.,کانتری
امیرحسین,۵,فوق‌العاده خوشمزه بود ممنونم از این کیفیت عالی,سیزن کمبو
اویده,۵,مثل همیشه خوب,همبرگر
محمد,۵,پیتزاشون از برگرشون خوشمزه تره!,ماشروم برگر
محمد,۲,نمیدونم چرا این پیتزای عجیب رو سفارش دادم . پیتزاهای معمولی بهترن چرا باید همچین بلایی سر پیتزا بیارین,پیتزا لاتینو چیکادیا
زهرا,۳,سلام به نظر در حد متوسط بود و به موقع هم آوردن,پیتزا چیکن گورمه (ایتالیایی)
یاشار,۵,متاسفانه برای اولین بار غذا سرد بود. ولی خوب چون همیشه راضی ام دلیل نمیشه امتیاز کم کنم. اتفاقه دیگه، میوفته. فقط گفتم بگم که حواستون باشه,پیتزا مارگاریتا (ایتالیایی)
parisa,۳,پیتزا سوپریم سفارش داده بودم ولی پپرونی تحویل داده شد ....,ساندویچ هات داگ ویژه
امیر,۴,مزه اش معمولی بود و کمی سرد شده بود,ساندویچ مرغ ویژه
صادق,۴,واسه ساندویچ نوشته بودم سس نزنن ولی زده بودن ۲ دفعه این مشکل تکرار شده بود واسه همین زنگ زدم به اسنپ فود گفتم غذا رو تعویض کنن و انجام دادن ممنون بابت پیگیری و لطفا رستوران به توضیحات دقت کنه که این مشکل پیش نیاد,ساندویچ مرغ ویژه
فریبا,۵,"مثل همیشه عالی و با کیفیت 
ممنون",پیتزا آفریکانا (آمریکایی)
پیمان,۴,کمی سرد بود,پیتزا پپرونی (ایتالیایی)
ذبیح اله,۱,فقط پنیر بود، کیفیت سیب۳۶۰ خیلی پایین آمده,پیتزا آفریکانا (آمریکایی)
امینی,۴,اسباب‌بازی داخل پک تکراری و شکسته بود الان سه تا دوز داریم که  بازیش خیلی طرفدار نداره,غذای کودک (پسرانه)
انیس,۵,عالی مثه همیشه,استار کمبو (۲)
Pourya,۵,بسیار عالی فقط امریکایی یکم خمیرش خام بود.اما ایتالیایی عالی و خوشمزه.ممنون,پیتزا چهارفصل (ایتالیایی)
بهراد,۵,مثل همیشه عالی بود,پیتزا پپرونی (ایتالیایی)
احمد,۱,ارسال نوشابه رژیمی,اکو کمبو یک
سپیده,۳,غذا سرد بود متاسفانه,ساندویچ هات داگ ویژه
مرضیه,۳,خوشمزه بود ولی خیلی دیر اوردن,پیتزا کاپریچیوزا (ایتالیایی)
یاسر,۱,غذا با تاخیر امد. سرد و جعبه اش باز بود.,پیتزا چهارفصل (ایتالیایی)
mehrnaz,۱,واقعا کیفیت غذا پایین بود سیب زمینیش ک اصلا پنیرش کم بود پیتزا گورمه هم ففط نون خالی بود مواد اصلا نداشت حیف پول,پیتزا چیکن گورمه (ایتالیایی)
A,۵,مثل همیشه همه چی عالی بود ممنون,سوپر برگر (پرسی)
Fteme,۵,عالیِ عالی,چیز برگر فرانسوی (پرسی)
_,۱,"مرغی که روی پیتزا بود سفت بود و یه بویی میداد 
کیفیت سابقو نداره غذاهاتون",پیتزا مکزیکو (آمریکایی)
مرضیه,۲,ساندویچ عالی بود ولی پیتزا ها نپخته بود,سوپر کمبو (۳)
بانو,۵,خوشمزه بود و گرم به دستمون رسید. پیک هم بسیار باادب بودند. سپاسگزارم.,سوپر برگر (پرسی)
مونا یگانه راد,۱,با اینکه کیفیت غذاها همیشه خوبه ولی همیشه سفارش با تاخیر زیاد میرسه,پیتزا چهارفصل (ایتالیایی)
مینا سادات,۵,عالی بود، ولی کمی سرد شده بود,پیتزا بیکن (ایتالیایی)
علی,۱,"غذا اشتباه آوردن
۱۲ شب  خسته سرما  یک ربع دم خونه مارو معطل و زنگ به این و اونو  هزار داستان       و ی کلام  نه معذرت  خواستن  نه چیزی..فقط فکره پول خودشون بودن  که ضرر نکن! با اینکه خودشون  اشتباه

برخورد پیک البته خیلی خوب
ولی  اونم  بی تقصیر",ساندویچ سوچیک
منصوره,۵,به موقع و داغ رسید و خیییییلی خوشمزه بود، ممنووووووون,پیتزا سبزیجات (ایتالیایی)
زهرا,۴,پیتزا مثل همیشه خوب بود ولی ساندویچ مرغ نونش تیکه‌تیکه میشد و له شده بود,ساندویچ مرغ ویژه
اتنا,۵,"همیشه عالی تمیز بهترین کیفیت 
سیب ازت ممنونیم",پیتزا بیکن (ایتالیایی)
طلیعه,۵,سیب زمینی با پنیر می توانست بهتر و با پنیر بیشتری باشد ولی دز محموع خوب بود,نان سیر
فرزانه,۳,نوشابه رو ارسال نکردن,سوپر برگر (پرسی)
خانم,۱,سالاد سزار افتضاح. سس سالاد بد مزه. پیتزا فقط پنیر بود با یه کوچولو مرغ. در کل پول دور ریختم,سالاد سزار
نیلی,۱,خیلی بی کیفیت و بی طعم بودش,فیوژن
مائده,۵,خیلی خوب بود,پیتزا پپرونی (ایتالیایی)
zahra,۱,غذا به طرز فاجعه ای سرد بود انگار از یخچال اورده بودن و شدیدا دیر رسیده,پیتزا چهارفصل (ایتالیایی)
مسلم,۱,پیتزاها کاملا خمیر شده بود. یعنی فقط خمیر بود که گذاشتم جلو مهمون. یه آبروریزی شد که نگو,پیتزا چانو (ایتالیایی)
فائزه,۵,اندازه پیتزا بزرگ بود نونش خوشمزه وپیزا طعم خوبی داشت ممنونم,پیتزا چیکن گورمه (ایتالیایی)
غزاله,۲,سلام.سالاد سزار اصلا خوب نبود.مرغش کم بود و سرد سرد.همه ش کاهو بود.سیب زمینی هم من ساده سفارش داده بودم با پنیر برام آوردن و چون دخترم پنیر دوست نداره ریختم دوریه جوری طول کشید تا بیارن که گفتم سالاد و گرم می‌خوان سرو کنن نه آنقدر یخ!,سالاد سزار
آزاده,۵,غذا فوق العاده زود رسید تقریبا بیست دقیقه زودتر از زمان تعیین شده. کاملا داغ بود. همبرگر خیلی نرم و خوشمزه بود.,اکو کمبو یک
Raha,۳,"به موقع و داغ رسید ، طعمش معمولی بود
نسبت به گذشته افت کیفیت داشت",پیتزا پپرونی (ایتالیایی)
زهرا,۵,عالی بود. بسته بندی شیک و تمیز. رفتار پیک خیلی خوب بود وسفارشم  به موقع و گرم رسید. نکته خوبش پکی بود که خودم باید غذا رو از داخلش برمی داشتم.,پیتزا میکس (آمریکایی)
بهروز,۳,نسبت به پیتزاها کیفیت پایینی داشت و فقط پنیر بود,کانتری
مرضیه,۴,خوشمزه بود فقط سرد بود,اکو کمبو چهار
فرزانه,۳,مثل همیشه نبود روی پنیرش کاملا سوخته بود,پیتزا بیف گورمه (ایتالیایی)
فدا,۱,سیب زمینی در سفارش بود اما ارسال نشده بود,اکو کمبو سه
یاسمین,۳,خیلی سرد بود,ساندویچ مرغ ویژه
افسانه,۱,با اینکه سفارش نیم ساعت زودتر رسید به شدت غذا افتضاح بود سیب زمینی سرد و نرم انگار مونده بود و ساندویچ هم نان نرم با سس که بهش زده بودن افتضاح شده بود بدمزه ترین ساندویچی بود که تو کل عمرم خورده بودم سری قبل هم پیتزا بد بود این آخرین بارم بود که به این رستوران سفارش میدم افتضاح بود,سیب زمینی پنیر ویژه
خانم,۳,با وجود فاصله کم با رستوران غذا سرد رسید,پیتزا میکس کالزون (آمریکایی)
Zhila,۳,"وقت بخير
سسي كه روي پيتزا زده بودن مغاير با سفارش بود و 
متاسفانه كاملا سرد رسيد",ساندویچ سوچیک
غزاله,۲,"غذا رو سرد تحویل دادن 
نون پیتزا هم بی کیفیت بود",پیتزا چانو (ایتالیایی)
زهرا,۳,طعمش اصلا خوب نبود,پیتزا آفریکانا (آمریکایی)
افسانه,۵,خیلی ممنون کیفیت عالی و کاملا داغ به دستم رسید,سیب زمینی
Hana,۱,غذا یخ زده بود و تقریبا بعد ۲ساعت رسید به دستم. ارسال بد تموم ارزش این غذا و رستوران به بی کیفیت ترین حالت تبدیل کرد.,پیتزا سبزیجات (آمریکایی)
اسفندیار,۳,فقط غذا بسیار سرد بود,پیتزا میکس کالزون (آمریکایی)
mehdi,۱,طعم بد زهم مرغ ، بارها گفتم ولی فایده ندارد,پیتزا آفریکانا (آمریکایی)
نسا,۵,غذا ها خوب بود فقط نان ساندویچ ها شیرین هست که باب سلیقه ما نبود,پیتزا پپرونی (آمریکایی)
محمدحسن,۵,مثل همیشه گرم و خوشمزه,پیتزا چیکن گورمه (ایتالیایی)
zahra,۵,"عالی
بعد ازمدتی که افت کرده بود متاسفانه اینبار هم زمان مناسب هم غذا گرم وبا کیفیت با پیک بسیار خوش برخورد تحویل شد",پیتزا چهارفصل (ایتالیایی)
مریم,۴,خطا در ارسال سفارش.. پیتزاها اشتباه اومده بود سریع درست کردن,پیتزا مونترال (آمریکایی)
سحر,۵,"زودتر از انتظار آوردند و گرم بود 
کیفیت غذا هم خوب بود",ماشروم برگر
امین,۵,واقعا سیب ۳۶۰ عالیه.خواهشا همیشه همینطوری عتلی ادامه بدین...,پیتزا پپرونی (آمریکایی)
زهرا,۲,پیتزا تقریبا سرد رسید. انگار از قبل آماده بود و مشکل از پیک نبود چون از زمانی که تحویل گرفت تا زمانی که به من تحویل داد کمتر از ۱۰ دقیقه شد. به توضیحات توجهی نشده بود.,پیتزا بیکن (ایتالیایی)
mojtaba,۱,افتضاح -از ۳۶۰ بعید بود ،دیگه سفارشی نمیدم,پیتزا آپاچینو (آمریکایی)
صنم,۴,كيفيت پيتزا كمتر شده,پیتزا میکس (آمریکایی)
عاطفه,۵,مثل همیشه عالی,سیب زمینی
جمیله,۱,"ساعت ۱۲ و نیم سفارش به دستم رسید که به جای نان سیر، پپرونی آمریکایی تحویل دادن و سس هم همراهش نبود و سرد هم شده بود 
بعد چند بار سفارش واقعا انتظار چنین اشتباهاتی رو نداشتم و تو ذوقم خورد",نان سیر
چگینی,۵,خیلی عالی و باکیفیت . پیک خوش اخلاق,سیب زمینی با پنیر
حسین,۵,بسیار لذیذ و عالی,پیتزا مونترال (آمریکایی)
رضا,۳,با وجود قیمت بالا افت کیفیت شدیدی نسبت به گذشته داشت بعید میدونم دیگه از اینجا سفارش بدم. با تاخیر بسیار زیادی هم ارسال شد.,سوپر برگر (پرسی)
zhila,۱,پیتزاش انقدر شور بود که قابل خوردن نبود,پیتزا چانو (ایتالیایی)
سينا,۱,"سیب زمینی خشک و اصلا تازه نبود . 
هات داگ همراه با نون خشک شده و مخلفات خیلی کم . 
من مشتری این مجموعه هستم والا این مدل غذا آوردن واسم عجیب بود",ساندویچ هات داگ ویژه
محبوبه,۵,همه چیز عالی بود ممنون. برخورد پیک هم عالی بود,پیتزا توکیو (آمریکایی)
فاطمه,۱,کیفیت افتضاح,پیتزا پپرونی (ایتالیایی)
عاطفه,۴,برعکس قیمتهای بالا نسبت به جاهای معمولی کیفیت خیلی معمولی داره,پیتزا چیکن گورمه (ایتالیایی)
محمد حسین,۴,سس سیر و یا سوییت چیلی همراه نداشت و صرفا سس یکنفره قرارداده بودند,پیتزا بیف گورمه (ایتالیایی)
فهیمه,۳,مزه اش خیلی معمولی بود خیلی هم کوچیک بود و نسبت به حجم گران بود,پیتزا سبزیجات (آمریکایی)
احسان,۲,فقط خمیر و پنیر بود اصلا کیفیت سابق رو نداشت,پیتزا چانو (ایتالیایی)
زاهده,۴,چرا اینقد گرون شده آدم کباب سفارش بده بهتره پیتزا چانو ۷۰ هرار تومن چه خبره اگه از کیفیت پنیر و گوشت آدم مطمئن باشه بازم آدم دلش نمیسوزه در خوشمزگی ش شکی نیست ولی اینکه پنیر فله یا گوشت یخی هست یا نیست نمیدونم,پیتزا چیکن گورمه (ایتالیایی)
سانیا,۵,غذای عالی و خیلی خوش طعم. پیک بسیاررر مودب. بدون تاخیر. ممنون!,پیتزا پپرونی (ایتالیایی)
محمد,۳,غذا در بسته بندی کاملا شیک و بهداشتی فرستاده شد.ولی کمی سرد شده بود وگرنه رراضی بودم.ممنون,پیتزا گوشت و قارچ (آمریکایی)
فاطمه,۵,بسیار خوشمزه و خوش‌طعم و گرم و تازه بود. از برخورد بسیار محترمانه پیک هم متشکرم.,پیتزا کاپریچیوزا (ایتالیایی)
زهره,۵,سیب‌زمینی یکم سرد بود. پیتزا خیلی خوب بود ممنون,پیتزا چیکن گورمه (ایتالیایی)
.,۱,واقعا ناراضی بودم و این اولین و آخرین سفارش من از این رستوران بود.ساعت ۱۰ شب سفارش دادم و ۱۲ شب به دستم رسید هیچکسی هم پاسخگو نبود!غذا سرد تحویل داده شد و مزه ی مقوا گرفته بود!!,پیتزا مونترال (آمریکایی)
زهرا,۴,مرغ موجود در پیتزا بو و‌ مزه ضهم میداد,پیتزا چیکن گورمه (ایتالیایی)
مهدی,۱,بیش از حد نازک بود و از کمترین مواد ممکن استفاده شد، در مجموع اصلا راضی‌کننده نبود‌.,پیتزا بیف گورمه (ایتالیایی)
پر,۴,"خیلی سریع تحویل داده شد. خیلی زودتر از زمان مشخص شده.
ولی قیمت پیتزا به نسبت کیفیت یکم بالا بود.",درامز و استارتر
زینب,۵,"خیلی سریع سفارشمون رسید کلی شوکه شدیم .
عالی بووود مثل همیشه",میکس کمبو (۱)
مهتا,۵,خوب بود.,پیتزا میکس (آمریکایی)
سعید,۵,عالی,پیتزا میکس (آمریکایی)
رضا,۴,همیشه تمیز و استریل ولی یه مقدار کیفیت غذاها نسبیت به قبل اومده پایین,پیتزا کالزون (آمریکایی)
ایمان,۲,گوشت قرمز تکه ای پیتزا بو میداد و همبرگر اصلا طعم و کیفیت خوبی نداشت .,میکس کمبو (۱)
سينا,۴,کیفیت غذا خوب بود اما متاسفانه وقتی به دست من رسید سرد بود.,پیتزا میکس (آمریکایی)
Niayesh,,چنانچه تحویل سفارشات باسرعت بیشتری انجام شود بسیار بسیار بهتر است,پیتزا میکس (آمریکایی)
سامان,,زمان آماده شدن غذا ۴۵ دقیقه و بعد ۱۵ دقیقه برای تحویل به غذا بر و بعدش میبینی هنوز نرسیده و ده دقیقه معطلی بیشتر و بعد غذا نیمه گرم ..با این هزینه های بالا خداوکیلی چرا غذا با این تاخیر باید برسه,پیتزا چیکن گورمه (ایتالیایی)
اشکان,۱,انقد دیر اورد واسمون که غذا یخ کرده بود!!,نان سیر
زهراا,۱,یخ بود:),پیتزا پپرونی (آمریکایی)
ا,,سلام‌ غذا خیلی دیر رسید و بسیار سرد بود,پیتزا پپرونی (ایتالیایی)
Somayehtorabi,,خیلی با تاخیر بود و غذا سرد سرد دیگه سفارش نمیدم,پیتزا چانو (ایتالیایی)
محمد,۱,"بد مزه بود
کالزون خیلی بهتره",پیتزا گوشت و قارچ (آمریکایی)
امیر حسین,۱,به پیک ها بگین لطفا غذا رو بیارن بالا داخل اسانسور نزارن مرسی,پیتزا چهارفصل (ایتالیایی)
خانم,۳,به نسبت قبل کیفیتش اومده پایین البته سری پیش هم بهشون گفته بودم راضی نبودم.,پیتزا چیکن گورمه (ایتالیایی)
رضا,۵,بسیار تمیز و با کیفیت,پیتزا چانو (ایتالیایی)
روح اله,۴,در کل خوب بود,بلووز
پگاه,۵,پیتزا فوق العاده عالی,پیتزا پپرونی (ایتالیایی)
زهرا,۵,بی نظیر بود مثل همیشه ی سیب که عالیه,پیتزا چیکن گورمه (ایتالیایی)
فرحناز,۴,خوب بود گرم و تازه مانند همیشه,پیتزا کاپریچیوزا (ایتالیایی)
پریسا,۵,عالی بود ممنون از مجموعه سیب,نوشابه قوطی کوکا کولا
حمید,۵,کیفیت مناسب بود. بعد از مصرف دچار عوارضی نشدیم و سبک بود. بسته بندی شکیل و با رعایت موارد بهداشتی مورد انتظار بود,پیتزا چیکن گورمه (ایتالیایی)
عليرضا,۴,سفارش چیز برگر داده بودم که بجای چیز برگر همبرگر فرستاده بودند.,ساندویچ هات داگ ویژه
گیتی,۵,همه چیز عالی بود ولی این قضیه‌ی مالیات چیه ؟ آخر سر تازه مشخص شد که باید مالیات بدیم. اگه اول تو منو بگید مبلغ مالیات رو خیلی بهتر میشه.,پیتزا مونترال (آمریکایی)
داریوش,۳,تو پک سس نبود و نوشابه هم نوشته بودین داخل پک هست اما نبود,پیکو کمبو
Ali,۳,غذا خیلی با تاخیر رسید و سرد شده بود مجبور شدیم بزاریم تو مایکروفر، برخورد پیک اصلا جالب نبود,سیب زمینی
مهرداد,۵,همه چیز عالی و خوشمزه. به موقع هم رسید.,پیتزا چهارفصل (ایتالیایی)
مریم,۵,"بسته بندی عالی. غذا گرم و خوشمزه. من راضی بودم
سفارشم هات داگ بود",ساندویچ هات داگ ویژه
مرضیه,۵,خوشمزه بود ياد پیتزا فیلم فرندز افتادم,پیتزا تیکانا (ایتالیایی)
وحید,۵,مثل همیشه عالی,غذای کودک (پسرانه)
سهیل,۵,عالی,پیتزا مونترال (آمریکایی)
علی,۳,فقط استراجین مرغش اصلا طعم مناسبی نداشت,استراجین
حسین,۴,"هر دوتا پیتزا طعم خوبی داشت
کیفیتشم خوب بود",پیتزا پپرونی (آمریکایی)
مرتضي,۵,بهتره از باقی جاها,پیتزا چیکن گورمه (ایتالیایی)
زینب,۲,هم پیتزا هم نان سیر سرد و بیات بودن هیچ سسی هم ارسال نکردید در کل مثل همیشه نبودند,پیتزا سبزیجات (ایتالیایی)
مریم,۵,مثل همیشه خیلی خوشمزه بود ،مرسی از سیب۳۶۰,پیتزا سوپریم (ایتالیایی)
زیبا,۱,"بدترین تجربه من در سفارش از پیتزا سیب مجیدیه... 
ساعت ۹:۳۸سفارش گذاشتیم ساعت ۱۱:۳۰بعد از بار ها پیگیری از اسنپ فود و خود فست فود نهایتا پیک تماس گرفت و به ادرس دوم ما ک شرکتمون هست رفته بود در صورتیک من سفارش رو با دقت برای خونه ثبت کردم. و اسکرین شاتم گرفتم. خلاصه ک لوکیشن فرستادم و اومد. غذا رو گذاشتیم تو یخچال و خوابیدیم.... کاش اگر ظرفیت ندارین و نمیتونین به موقع تحویلبدین حداقل سفارشو ببندین.",پیتزا پپرونی (آمریکایی)
هانیه,۲,سرد بود و زیادی خمیر بود,پیتزا چهارفصل (ایتالیایی)
عطيه,۵,مثل همیشه عالی,نوشابه قوطی اسپرایت
ابوالفضل,۵,کیفیت بالا و مناسب مثل همیشه,پیتزا بیف گورمه (ایتالیایی)
فرحناز,۴,سینه مرغ ترد و تازه نبود مثل گوشتی که در داخل ماکرو سفت و خشک میشه و به راحتی قابل خوردن نیست.,استرا کیو
