sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
saeed,۳,"راننده پيك  ميخواست غذا رو بزاره توي اسانسور بره 
وقتي بنده گفتم اجازه بدين خودم ميام ميگيرم ازتون بهش برخورد و گفت خودم ميارم بالا اقا درو باز كن 
من تعجب كردم   اين اولين بار بود همچين برخوردي از رانندگان اسنپ ميديدم من مشتري دائم اسنپ هستم 
يه خورده بهم برخورد امروز",پیتزا چهارفصل (ایتالیایی)
حسن,۱,"غذا سرد و رفتار بی ادبانه پیک
مایه خجالت این مجموعه است امثال این رفتار",پیتزا پپرونی (ایتالیایی)
hamed,۴,هميشه خوشمزه است,نان سیر
سینا,۵,عالی,سیب زمینی با پنیر
مریم,۴,خوب بود ،در زمان مناسب رسید و خوشمزه بود,پیتزا میکس (آمریکایی)
ن,,بعد از حدود نیم ساعت تاخیر غذای سرد و بی کیفیت به دستمون رسید. توی بسته غذای کودک پسرانه اسباب بازی دخترانه گذاشتن. کنار سوپر برگر از قارچ خبری نبود.کلا چند وقته هم سرویس دهی اسنپ فود پایین اومده و هم رستوران های طرف قرار داد. دیگه سفارش نخواهم داد.,پیتزا چانو (ایتالیایی)
مارال,۵,خيلي زود ارسال شد همه چيز خوب بود حتما دوباره سفارش ميدم,پیتزا سوپریم (ایتالیایی)
خانم,۵,مثل همیشه خوب بود,پیتزا کاپریچیوزا (ایتالیایی)
علی,,طعم پیتزا عالی بود ولی کاملا سرد ب دستم رسید,پیتزا پپرونی (ایتالیایی)
سعید,۴,کیفیت خوب بود فقط غذا سرد به دستم رسید,پیتزا آفریکانا (آمریکایی)
شهسوارانی,۱,سیب زمینی سرخ نشده بود‌کامل,سالاد سبز ویژه سیب
علی,۱,من همیشه از اینجا پیتزا می گرفتم به خاطر کیفیت ش خوبش ولی آخرین سری خیلی بد بود مخصوصا سوسش که روی سیب زمینی زدند ترش شده بود,پیتزا چیکن گورمه (ایتالیایی)
حسین,۱,واقعا افتضاح بود,همبرگر
امیرحسین,۵,تا حالا چند بار سفارش دادم محشره محشرررررررر دم  مدیر رستوران و همه کارکنان عزیز پیتزا سیب گرمممم,پیتزا مونترال (آمریکایی)
رضوان,۵,انصافا خیلی خوب بود هم خوشمزه هم گرم ممنون و‌متشکر,ماءالشعیر قوطی هی دی لیمو
somaye,,خیلی شور بود,پیتزا میکس (آمریکایی)
مهناز,۵,"همه غذا ها گرم و با کیفیت عالی رسید، من عاشق نون سیر و پیتزا چانو رستوران سیب هستم پیشنهاد میکنم امتحان کنید.
تشکر فراوان از اسنپ فود",پیتزا چانو (ایتالیایی)
یاسر,,کیفیت و مزه بد بود,پیتزا گوشت و قارچ (آمریکایی)
امیر,,گرم و خوشمزه,سوپر برگر (پرسی)
سارا,۵,عالی بودددددد ممنونممم,پیتزا میکس (آمریکایی)
اردلان,۵,بی نظیرید,پیتزا چانو (ایتالیایی)
