"sc-hKgILt","sc-hKgILt 3","sc-hKgILt 4","sc-hKgILt 5"
"کتایون  عباسی","۵","مثل همیشه عالی، خوشمزه، تمیز، گرم و خیلی زود دستم رسید","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"neda torabi","۵","غذا بسیار عالی بود و به موقع ارسال شد","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"bahar amini","۵","ارسال به موقع، غذای گرم و خوشمزه واقن عالی بود","استرامبولی دونر استیک پنیری"
"زهرا کرمی","۵","بسیار عالی و خوشمزه بود گرم هم رسید","پیتزا کویین (۲۳ سانتی‌ متری)"
"شیما انتظاری","۴","کیفیت پیتزا خوب بود اما کیفیت سالاد کلم مناسب نبود و مزه موندگی داشت.","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"اعظم خوبرو","۵","خوب بود.
ممنون","سالاد سزار با مرغ سوخاری پنیری"
"نرگس سالاری","۵","خوب","چیز برگر"
"ramin solgi","۵","غذا خیلی گرم و خوش طمع به دستم رسید ۱۸ دقیقه زودتر از زمان تحویل رسید برخورد پیکم خوب بود با تشکر","پیتزا مرغ (۳۰ سانتی‌ متری)"
"Maryam Ghorbani","۵","خیلی خیلی خیلی خوشمزه بود داغ داغ بود ممنون","استرامبولی گوشت و پنیر"
"شادی جوادی","۵","عالی بود 
خیلی سریع رسید
پیتزا کاملا گرم بود","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"مرجان حبیبی","۵","مثل همیشه عالی","سالاد سزار با مرغ سوخاری پنیری"
"فاطمه افضلی","۵","عالی بود","کمبو یامی"
"محمد رضاخسروی","۵","بی نظیر بود","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"نگار عبداللهی","۵","این غذا بی نظیره
مخصوصا که انقدر سریع رسید و داغ و تازه بود.
شیلا واقعا کیفیت و مشتری مداری حرف نداره
شاید به نظر بعضی ها یکم گرون باشه اما به نسبت کیفیت بالاش می ارزه","استرامبولی مرغ و اسفناج پنیری"
"زهرا نظری","۵","عالی عالی بود","استرامبولی دونر استیک پنیری"
"حکیمه فتحی","۵","مثل همیشه عااالی","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"پانته‌آ ساربان‌ها","۳","فلفل دلمه و قارچ تازه نبود و طعم کهنگی داشت 
انگار مدتی توی یخچال مونده باشه .","پیتزا کویین (۲۳ سانتی‌ متری)"
"کیانوش کیامهر","۵","عالی عالی عالی","استرامبولی دونر استیک پنیری"
"مهشید برهانی","۵","خیلی فوق‌العاده بود، پیتزا و سالاد عالی بود، بسته بندی خیلی بود، خیلی هم به موقع به دستمون رسید، رفتار پیک هم خیلی خوب و محترمانه بود، مرسی","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"میعاد  آهی","۲","کیفیت به شدت افت کرده بود","فرش برگر"
"الینا مکردومیان نماکردی","۵","مثل همیشه عالی","استرامبولی هات چیکن"
"متین برق","۵","سریع تر از زمان پیش بینی شده","کمبو فیت"
"صدف مقدم","۵","عالی","سالاد سزار با مرغ سوخاری پنیری"
"فاطيما فاطیما هوبخت","۵","عالي عالي فقط حجمش پيتزا نسبت به اطراف كه خريداري ميشه كم هست از نظر مزه خيلي عالي بود اميدوارم دفعه بعد حجم پيتزا بزرگتر بشه","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"majid bouzari","۵","سپاس. به موقع و گرم تحویل شد","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"مریم قلی پور","۵","مثل همیشه غذا با کیفیت و خوشمزه و سر موقع","پاسترونی چیکن آلفردو"
"یوسفی سیف","۵","پیک بسیار با ادب و خوش  برخورد","استرامبولی دونر استیک پنیری"
"رضا جلوی","۵","خیلی خوب بود
محصولات جدید شیلا واقعا خوبه
همچنین پیک بسیار رفتار محترمانه ای داشت","استرامبولی دونر استیک پنیری"
"فاطمه کوهستانی","۵","پیتزا و ساندویچ خیلی خوب بود ولی پاستا بیشترش پنیر بود تا خود پاستا","فرش برگر"
"صابره تهرانی","۵","مثل همیشه عالییییی و سریع","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"مهتاب قوی","۴","برخود پیک عالی بود خیلی با ادب و با شخصیت بودن","فینگر کریسپی"
"امیر سلیمیان","۵","ممنون از کیفیت کارتون.","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"مهرزاد پارسا","۵","مرسی عالی بود","چیکن استریپس"
"کوین مائیلیان","۵","عالی بود.ممنون","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"محمد ابراهیمی","۵","عالی","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"ایدا  جباری","۵","خوشمزه بود ممنون","ساندویچ بیف هات داگ"
"مریم سادات","۵","خیلی خوشمزه بود سپاس.از اینکه همراه با سفارشم نوشابه فرستادین سپاسگزارم","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"الهه بغدادی","۵","مثل همیشه عالی","چیز برگر"
"نگار عبداللهی","۵","انقد داغ و تازه بود انگار همین الان از فر درآوردن و رسوندن بهم
و عالی و خوشمزه","چیکن چیز ژامبو پلاس"
"سیدمحسن طبسی","۳","پیازها خام بودن، مواد پیتزا خیلی کم بود","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"سارا بهنام زاد","۵","در کمترین زمان ممکن دریافت کردم و از لحاظ کیفیت هم عالی بود امیدوارم که به همین صورت ادامه بدن و از کیفیت کم نکنن","استرامبولی دونر استیک پنیری"
"حمیدرضا دباغ","۴","برخورد عالی پیک و رستوران.کیفیت مناسب و ارسال سریع","نوشابه خانواده کوکا کولا"
"محمد ابراهیمی","۵","برای اولین بار بود از این مجموعه  ثبت سفارش داشتم سرعت ارسال، کیفیت و حجم خوب. واقعا جای تشکر داره","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"رادین یوسفی","۵","پیتزا شیلا مثل همیشه با کیفیت، استفاده از مواد اولیه ی مناسب، ارسال تقریبا به موقع از لحاظ گرم بودن هم خوب بود. و پیتزا با طعم عالی و کیفیت کامل بود خسته نباشید","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"طاهره داودبلوک","۵","پیتزا مرغ و قارچ گرفتیم علاوه بر اینکه سالم بود فوق العاده خوشمزه بود","پیتزا مرغ (۲۳ سانتی‌ متری)"
"فاطمه گودرزی","۵","از همه نظر عالی بود","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"شروین منطوری","۵","این طعم جدید و لذید بود","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"سونیا چهره","۵","پیک رستوران خیلی باادب و با اخلاق بود و غذا رو هم داغ تحویل داد ،استرامبولی داغ و عالی بود","استرامبولی چیکن آلفردو"
"پریسا نعیمی","۵","مثل همیشه خوشمزه و عالی مرسی شیلا","استرامبولی دونر استیک پنیری"
"دارایی دارایی","۵","پیک ی هم که فرستادید بسیار آدم وظیفه شناسی بودن با سرعت اواردن که غذا که گرم بمونه","پیتزا هات چیکن (۳۰ سانتی متری)"
"ahmad saberi","۵","خوب","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"Maryam Ghorbani","۵","خیلی خوشمزه بود عالی عالی","استرامبولی ژامبون پنیری"
"sara rabiei","۴","جز گزینه هایی بودین که همیشه دوست داشتم این آیتم رو سفارش بدم چون تمام چاشنی ها متناسب بود اینبار طعم و بوی سیر بسیارغالب بود ،پیشنهاد میشه تمهیداتی در نظر بگیرید که از مشتری بپرسید ایا بو و طعم سیر رو دوست داره یا نه ، لطفا سلیقه ای عمل نکنید ضمنا این بار حجم نسبت به قبل خیلی کمتر شده بود.","پاسترونی چیکن آلفردو"
"Fateme  Beyrami","۴","خوب بود فقط‌ سیب زمینی‌ چندتا دونه بود عکسی که واسه منو گذاشتن نبود اصلا‌ مقدار سیب زمینی کنار پیتزاهای بزرگتر بیشتر بود","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"نگین میرزایی","۵","خوب بود","سالاد کلم"
"محمد آشوري","۱","ده درصد تخفیف میدین و ده درصد مالیات میگیرین؟؟؟ مالیات داره مگه پیتزا خوردن؟؟؟","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"samira balaghi","۵","عالی گرم خوشمزه","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"شیما مولانیا","۵","شیلا خدایی کیفیت خوبی داره من پیتزا و همبرگرشو تست کردم خیلی خوب بود","پیتزا پپرونی (۳۰ سانتی‌ متری)"
"میلاد جعفرآقایی","۵","عالیییی","سالاد سزار با مرغ سوخاری پنیری"
"زهره برمکی","۵","خیلی خوب بود.به توضیحات توجه کردن و برام یه نوت گذاشته بودن که خیلی حالمو خوب کرد.","استرامبولی چیکن آلفردو"
"کامران پورمقدم","۵","غذا ها بسیار عالی و خوشمزه بود  و گرم به دستم رسید","سالاد سزار با مرغ گریل"
"رضا نوروزی","۵","عالی مثل همیشه","سیب زمینی سرخ شده ساده"
"M کیارستمی","۵","عالی بود ممنون ، لطفا همیشه  همینطور باشید ، پیتزا تازه پخت شده و گرم ، نه آماده از قبل و گرم شده در فر یا مایکروفر، و ممنون بسیار سریعتر از تایم درج شده در اسنب ارسال شد متشکرم","آلفردو چیز فرایز"
"زهرا تكس","۵","عالی بود","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"سحر ماتک","۳","متاسفانه کم کم داره افت میکنه، تو این فاصله کوتاه زمانی هم قیمت افزایش پیدا کرده هم حجم کم شده و هم کیفیت پایین اومده","استرامبولی رست بیف"
"نسرین تابانی","۵","عالی بود از همه نظر","استرامبولی مرغ و اسفناج پنیری"
"عارفه شریعتی","۴","ممنون از شما","سالاد سزار با مرغ سوخاری پنیری"
"سهیل کی ارسلان","۵","پیتزا خوب بود نان سیر هم در حد متوسط","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"محسن محمدخانی","۵","مثل همیشه عــــالی","استرامبولی دونر استیک پنیری"
"داود محمدی","۵","خیلی عالی بود
خیلی باکیفیت وخوشمزه بود واقعا
گرم وسریع تحویل دادن
واین که پیک موتری هم آدم باشخصیت ومنظمی بودن
ممنونم","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"بیتا کاظمی","۵","عالي","نوشابه خانواده کوکا کولا"
"حوریه  مخلوقی","۵","غذا گرم و موقه رسید","ساندویچ هات داگ با پنیر گودا"
"محمد صادقی","۵","به موقع و گرم به دستمون رسید","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"mina rahimi","۵","عالی بود ممنون از توجه‌تون به توضیحات","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"زینب معینی","۵","مثل همیشه عالی","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"زهرا مطلق","۵","کیفیت خوب و برخورد عالی","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"نگار عبداللهی","۵","فوق العاده بود به لیست غذاهای مورد علاقم از شیلا اضافه شد / سوخاریش خیلی خوشمزس
پیشنهاد میکنم جداگانه هم جز غذهاتون بزارین","سالاد سزار با مرغ سوخاری پنیری"
",,,, همایونی","۵","بازم مثل همیشه عاااالی بود","سیب زمینی سرخ شده ساده"
"hamid vahidi","۵","تحویل به موقع 
کیفیت عالی","پیتزا پپرونی (۲۳ سانتی‌ متری)"
"فاطمه شکری","۵","عالی مثل همیشه","استرامبولی چیکن آلفردو"
"مائده شاهمرادی","۵","کیفیت خوب و گرم رسید دستم پیک هم عالی و خوش برخورد بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"مولوی مولوی","۵","عالی","چیکن کریسپی"
"عاطفه  ابراهیمی","۵","بسیار با کیفیت و عالی","پیتزا مرغ (۳۰ سانتی‌ متری)"
"شهرزاد  صفوی","۵","عالی بود . تندرست بمونین","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"سپیده کیشانی","۵","پیک خیلی محترم بود","پیتزا مرغ و اسفناج اسپینا چیکن (۳۰ سانتی متری)"
"علی امیدی","۵","عالی مثل همیشه","ساندویچ هات داگ با پنیر گودا"
"ایمان فتاحی","۵","عالی","پیتزا مرغ (۲۳ سانتی‌ متری)"
"صفدری صفدری","۵","برخورد پیک بسیار عالی و مودبانه. کیفیت غذا مثل همیشه خوب","استرامبولی مرغ و اسفناج پنیری"
"کیاوش شریفی","۵","قطعا یکی از بهترین رستوران های ایران","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"آریا آریا بزرگی","۵","عالی بود گرم و خوش طعم و تازه   ممنون","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"مینا دزیانی","۵","شیلا همیشه خوشمزه ست، نوع پنیری که استفاده میکنید منحصر به فرده یه مزه‌ی خامه طوری میده که لطیف و خوشمزه ست، مواد تازه و باکیفیت استفاده میکنید و به اندازه، مرسی ازتون.","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"زهره پورحسینی","۵","خوشمزه بود . ممنون.","استرامبولی ژامبون پنیری"
"آزاده شاه محمدی","۵","مث همیشه عالی","پیتزا مرغ (۲۳ سانتی‌ متری)"
"سولماز عظیمی","۱","حجم غذا نسبت به قیمت آن کم بود و پنیر سوخته بود","چیکن چیز ژامبو پلاس"
"محمدرضا موسی زاده","۵","مثل همیشه عالیییییی.
متشکرم.","استرامبولی مرغ و اسفناج پنیری"
"م خانمحمدی","۵","مثل همیشه عالی و خوشمزه بود","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"مریم سادات","۴","در مجموع خوب بود ولی اصلا پیاز داغ نداشت","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"طاهره داودبلوک","۵","عاااالی","پاسترونی پستوچیکن"
"ایمان فتاحی","۵","عالی","سوپر کمبو"
"کاوه محمدخانی","۵","طعم خیلی خوبی داشت... ممنون از شیلا","پیتزا کویین (۲۳ سانتی‌ متری)"
"سحر رضاییان","۵","عالی بودممنون از پیک اسنپ فود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"الهه بهرامیان","۵","علاوه بر طعم خوب، از پیک محترم شیلا هم تشکر می کنم.","همبرگر"
"نازنین  توکلی فرد","۵","کیفیت عالی .سرویس دهی و تحویل غذا به موقع .برخورد پرسنل عالی و ممنون از پیگیری رستوران برای تحویل سفارش و رضایت مشتری .دفعه اول بود خرید کردم ولی واقعا راضی بودم از همه چیز","کمبو فیت"
"فاطمه حسینی","۵","عالییی خیلی دوس دارم این پیتزارو.","پیتزا مرغ (۳۰ سانتی‌ متری)"
"خانم نوروزی","۵","عالی و خوشمزه بود توو کمترین زمان و کاملا گرم رسید دستم","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"مونا رزاز","۲","کل ساندویچ حدود ۲۸۰ گرم بود. گوشتش کوچیک بود و یه طرف هر سه ساندویچ سوخته بود. فکر میکنم بخاطر تخفیف از گوشتش کم کرده بودن که اصلا ارزش خرید نداشت. خیارشورها فله بود و طعم خوبی نداشت و تند بود که ما درش آوردیم. پیتزا خوب بود و نونش طعم خیلی خوبی داشت. با اینکه پیک چپه کرده بود.","فرش برگر"
"ادرینا احتشام","۵","مثل همیشه عالی بود","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"ا الماس","۳","مقدار رست بيف يك سوم قبل حتي كمتر بود كل پيتزا نون و سس و پنير بود","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"رایا جنتی","۵","عالی","پاسترونی چیکن آلفردو"
"شهاب درودیان","۵","مثل همیشه عالی از شیلا","استرامبولی دونر استیک پنیری"
"محمد کاظمی","۵","ممنون و خسته نباشید همه چیز عالی بود و پیک خوب بود تشکر","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"غلامرضا ارجمندپور","۵","پیک واقعا موجه و مودب بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"الیکا اشرف‌پور","۵","بسیار خوشمزه و باکیفیت بود.","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"گیلدا آل عبا","۵","عالی مثل همیشه","پیتزا سوجوک (۳۰ سانتی متری)"
"ارزو کعبین","۵","خوشمزه و عالی","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"لیلا ناطقی","۵","خیلی خوشحال شدم شیلا سمت منزل ما شعبه افتتاح کرده و هم سریع و هم کیفیت خوب ....ممنون از احترام به ذائقه و وقت مشتری","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"شیرین رحیمی","۳","توقع بیشتری میرفت از شیلا","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"اندیشه رکنی","۵","بسیار بسیار خوشمزه و عالی بود","فینگر کریسپی"
"نسیم عباسی","۴","کیفیت خوب بود و به کسایی که غذای تند میخورن پیشنهاد میشه","استرامبولی هات چیکن"
"بهنام حیدری","۵","اولین بار بود که از شیلا سفارش میدادم. حجم و کیفیت کاملا مناسب بود، و شخصی که تحویل دادن خیلی محترم بودن","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"فاطمه شکری","۵","واقعا عالی بود، مخصوصا ظرف سیب زمینی خیلیییی عالی و شیک بود ممنون","پیتزا کویین (۳۰ سانتی‌ متری)"
"هادی ناطقی","۳","سالاد سزار خیلی معمولی بود","سالاد سزار با مرغ سوخاری پنیری"
"صدف شکری","۵","عالی","ساندویچ کراکف"
"زینب  سامنی","۵","عالی بود","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"سورنا منعم","۵","عالی","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"ادرینا احتشام","۵","عالی بود
طعمش حرف نداشت داغ داغ به دستم‌رسید","ساندویچ هات داگ با پنیر گودا"
"رضا نوروزی","۵","عالی","ساندویچ هات داگ با پنیر گودا"
"mahshad esfahani","۵","عالی مثل همیشه","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"فاطمه  سنقری","۳","استرامبولی مرغ و اسفناج با قبلا متفاوت بود و این بیشتر شببه کالباس مرغ و اسفناج بود","استرامبولی مرغ و اسفناج پنیری"
"مهشید غنی","۳","طغمش و خشکبشو دوست نداشتم","پاسترونی چیکن آلفردو"
"پرستو منوچهری","۵","واقعا عالی بود، خوشمزه و سریع تحویل داده شد وداغ","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"سمیرا حسینی","۵","عالی و خوشمزه،رفتار پیک هم بسیار محترمانه بود","چیز برگر"
"سودابه بيگدلي","۳","از طعم پیتزا اسپیشیال خوشم نیومد به خاطر همین امتیاز پایین دادم","پیتزا اسپشیال پلاس (۳۰ سانتی متری)"
"سیامک بهرامی بشیر","۵","خوب بود","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"سارا آریا","۵","خیلی عالی و خوشمزه","استرامبولی دونر استیک پنیری"
"سمیرا حسینی","۵","بسیار عالی و خوشمزه","چیز برگر"
"نگار عبداللهی","۵","کیفیت غذا حرف نداره
به خصوص که انقدر سریع میارن
انگار همین لحظه از تنور در اومده و رسیده دستت","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"ملیکا  احمدی","۵","خوشمزهههه","چیکن چیز هات پلاس"
"نغمه شادمهر","۴","سوخاری ترد و خوش طعم و گرم بود، سیب زمینی نسبت به دفعه های قبل کم شده یگو،","چیکن استریپس"
"مهرنوش طریقت","۵","مثل همیشه عالی","چیز برگر"
"سهیل کی ارسلان","۵","واقعاً خوب بود فقط حجم پنیرش یک مقدار زیاد بود","استرامبولی دونر استیک پنیری"
"عادل اسلامی","۵","همبرگر خام و سرد بود","کمبو فیت"
"hrz safahani","۵","مثل همیشه کیفیت بی نظیر","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"علی رمضانی","۵","مثل همیشه عالی","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"حامد احمدی نژاد","۵","غذا خیلی سریع و گرم بدستم رسید. ممنون","نوشابه قوطی کوکا کولا"
"افروز رضاخانی","۵","بسیار با کیفیت و عالی","پیتزا پپرونی (۲۳ سانتی‌ متری)"
"nooshin irandoost","۵","عااالی بود هم طعم و کیفیت غذا هم برخورد پیک","پیتزا مرغ (۲۳ سانتی‌ متری)"
"حمیدرضا زارع","۵","پیک بسیار محترم و پیتزای داغ با کیفیت","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"azin kazemi azin kazemi","۵","هم خیلی سریع ب دستم رسید
هم داغ و خوشمزه بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"شادی میرزایی","۳","نمیدونم چرا این دفعه یه ذره کیفیتش پایین بود حجمش کم بود خمیر پیتزا خام بود خیلی","چیکن چیز کلاسیک"
"قدسیه فراهانی","۵","اولین بار بود از این‌ شعبه سفارش داشتم که عالی بود و باز هم سفارش میدم","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"مهدی طبسی","۵","سلام مثل همیشه عالی بود","پاسترونی چیکن آلفردو"
"نازنین عسگری","۵","هم زود رسید هم رفتار پیک رستوران عالی بود و هم غذا خوب بود","پیتزا مرغ و اسفناج اسپینا چیکن (۳۰ سانتی متری)"
"mohammad mosayebi","۵","عالی","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"صابره تهرانی","۵","کلی خوشحالیم همسایه ماشدید کیفیت عالی مثل همیشه","پیتزا کویین (۳۰ سانتی‌ متری)"
"اعظم خوبرو","۵","عالی بود، ممنون","سالاد سزار با مرغ سوخاری پنیری"
"الهه گیتی روان","۵","خوب بود","همبرگر"
"سپهر پالوانه","۵","مثل همیشه بسیار عالی","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"خانم اسلامی","۵","کیفیت خیلی خوب...","پیتزا مرغ (۳۰ سانتی‌ متری)"
"اعظم خوبرو","۵","خیلی خوشمزه و با کیفیت بود، ممنون.
ولی جدا با قیمت ها مشکل داریم!","پیتزا مرغ (۲۳ سانتی‌ متری)"
"میثم آرزومندان مفرد","۵","عالی از با کیفیت ترین پیتزایی بود که تا حالا خوردم","نوشابه قوطی کوکا کولا"
"ر برخورداریان","۵","راضی بودم","پاسترونی پستوچیکن"
"بهزاد جابرانصاری","۵","عالی بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"فرزانه  استیری","۵","خیلی خوش مزه بود، زود هم تحویل گرفتیم","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"atefeh atefeh shams","۵","عالی بود","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"زهرا تكس","۵","عالی بود","چیکن کریسپی"
"مسعود  فراهانی","۵","خیلی خوب بود ممنون","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"عطا دهستانی","۵","بسیار تازه و لذیذ","چیکن استریپس"
"کناربلند کناربلند","۵","مثل همیشه خوب بود و سریع تحویل شد","پیتزا سبزیجات (۳۰ سانتی‌ متری)"
"شیما آقازاده","۵","عالی","پیتزا مرغ (۳۰ سانتی‌ متری)"
"اندیشه نیک قلب","۵","غذا بسیار تازه و با کیفیت بود.سپاس","نان سیر"
"سحر رضاییان","۵","عالی بود","ساندویچ هات داگ مرگز با قارچ و پنیر"
"نایری زادوریان","۵","خیلی خوب بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"محمد  زمانی","۵","مثل همیشه عالی و خوشمزه","ساندویچ هات داگ رست بیف"
"سینا صباغی","۵","عالی","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"سارینا رئیسی","۵","مصل همیشه عالی.بهترین هارو واستون آرزو دارم","استرامبولی دونر استیک پنیری"
"امیر خلیلی","۵","هم پرسنل بسیار مودب و محترم هستن و هم پیک‌شون. کیفیت هم که عالی","ساندویچ هات داگ با پنیر گودا"
"محمد فرح بخش","۵","شیلا کارش درسته","پیتزا سوجوک (۳۰ سانتی متری)"
"فاطمه عسکریزاده","۵","مثل همیشه خوششششمزززه","سالاد سزار با مرغ گریل"
"Ayda Mohamadian","۵","انتخاب من همیشه شیلاست حرف ندارید","پیتزا اسپشیال پلاس (۳۰ سانتی متری)"
"نسترن یعقوبی","۵","خوشمزه بود","استرامبولی ژامبون پنیری"
"مرتضی قنبری","۵","ممنون از توجه به توضیحات","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"مرضیه  ریحانی","۵","خیلی عالی بود و باکیفیت و داغ بدستمون رسید","پیتزا کویین (۲۳ سانتی‌ متری)"
"زهرا نظری","۵","عالی مثل همیشه","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"رویا محمودی","۵","بسیاار عاالی و سریع ، کیفیت بالا","پیتزا کویین (۳۰ سانتی‌ متری)"
"مریم زیباپور","۲","همیشه کیفیت پیتزا خوب بود ولی اینبار خیلی خمیر بود و پنیر زیاد اصلا راضی نبودم","پیتزا مرغ (۳۰ سانتی‌ متری)"
"شقایق خنجری","۵","احترام و ادب بالای پرسنل رو به همه چی ترجیح میدم","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"مانیا بیک زاده","۲","از شیلا توقع یک پیتزای معمولی داشتم اما وااااقعا بد بود. یکم نون، چنتا قارچ و مقدار زیادی پنیر پیتزا.","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"راحیل مشایخی","۵","مثل همیشه با کیفیت تمیز گرم و عالی","هات داگ چیز فرایز"
"نوید عایلی","۵","خوب بود.","ساندویچ هات داگ با پنیر گودا"
"نسترن اُستاد","۵","خوشمزه بود و زود رسيد","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"محمد  زمانی","۵","مثل همیشه داغ و خوشمزه","ساندویچ بیف هات داگ"
"Samira  Yaghmaei","۵","گرم رسید و خوشمزه بود","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"فاطمه سرلک","۵","شیلا همیشه عالی","پیتزا مرغ (۲۳ سانتی‌ متری)"
"مژگان یزدی","۵","سفارش مورد نظرم خیلی خوب بود و سریع آوردن","استرامبولی مرغ و اسفناج پنیری"
"علی ناظمی","۳","غذا خیلی سریع رسید اما سرد بود","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"عسل پدرام","۵","مثل همیشه پیتزا سبزیجات که خیلی خوشمزه هست","پیتزا سبزیجات (۳۰ سانتی‌ متری)"
"مهسا بگوند","۵","خوشمزه بود","چیکن کریسپی"
"فاطمه عسکریزاده","۵","گرم و لذیذ","استرامبولی دونر استیک پنیری"
"سارينا ملاشاهی","۵","مثل هميشه عالييي بود","پاسترونی چیکن آلفردو"
"شهرزاد  صفوی","۵","عالی","پیتزا سوجوک (۳۰ سانتی متری)"
"محمد محمودی","۵","طبق معمول خوب و تازه","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"سپیده جنابی","۵","خوشمزه و باکیفیت","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"کیمیا شفیع پور","۵","عالی مثل همیشه","سالاد سزار با مرغ گریل"
"مهیار آذرآئین","۱","طعم مرغ به شیرینی می زنه و اصلا خوشایند نیست.","چیکن استریپس"
"محسن صالحی","۵","ممنون از کیفیت و نظم رستوران 
در ضمن از پیک که خیلی با ادب و با احترام رفتار کرد خیلی ممنونم","پیتزا اسپشیال پلاس (۳۰ سانتی متری)"
"پارسا کرم پور","۵","یک از بهترین آیتم های شیلا بدون شک
بسته بندی عالی 
تحویل به موقع و سفارش گرم","پاسترونی چیکن آلفردو"
"امیر قهری","۳","سیب زمینی کنارش خیلی کم بود چندتا دونه بود ، تو عکسش اندازه یه ظرف سیب زمینی کنارشه ، زمان تحویل چهارتا دونه سیب زمینی توش بود","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"الهام کشاورزی","۴","به نظرم گوشت باید بهتر پخته بشه . مخصوصا همبری که خریدم گوشتش لازم بود بیشتر سرخ بشه 
اولین بار سفارش دادم و نسبتا راضی بودم","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"سارا موسوی","۵","عالی بوود مثل همیشه","سوپر کمبو"
