"sc-hKgILt","sc-hKgILt 3","sc-hKgILt 4","sc-hKgILt 5"
"ali meschi","۲","اجزای پیتزا متاسفانه نپخته بود ، حالت ماسیده وخیس داشت ، بدترین پیتزایی بود که خوردم و از این شعبه دیگه سفارش نمیدم","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"Samira  Yaghmaei","۵","خوشمزه بود ولی سیب زمینیش کاش بیشتر بود","نوشابه قوطی اسپرایت"
"mahsa zad","۲","اصلا مثل هميشه نبود نان پيتزا خمير و خيس بود و باعث شده بود لايه ووي پيتزا كاملا ازش جدا بشه و چسبندگي به دست ايجاد ميكرد 
نظر كلي مونو نسبت به پيتزاهاي شيلا تغيير داد","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"امیررضا  هاشمیان","۳","در مجموع خوب بود، اما از سطح تبلیغات پایین تر","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"سمیرا محمدی","۱","خیلی بد بود !! ساندویچ چیز برگر افتضاح بود پنیر بو بد میداد سرد و له شده و بی کیفیت و به توضیحات هم هیچ توجهی نشده بود","چیز برگر"
"سمیه رنجبر","۱","سیب زمینی کاملا بیات و مانده بود خوبه روتون شده اینو بفرستید.","آلفردو چیز فرایز"
"اقا  بهنام","۱","واقعا کیفیت مرغ پایین و بد بو بود،واقعا بد شده شیلا","سالاد سزار با مرغ سوخاری پنیری"
"روبینا","۴","تا آماده شدن سفارش متاسفانه برف شروع شد و پیک بنده خدا توی سرما و برف سفارشمون رو سریع و گرم تحویل دادند. خدا بهشون سلامتی بده. پیتزاها خوب بود چه از نظر کیفیت پخت چه حجم مواد پیتزا ولی طعم سس پیتزا رو من خیلی نپسندیدم که بحث سلیقست.","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"mori","۳","با سلام خدمت مدیریت محترم رستوران شیلا
درخواست کرده بودم توی پیتزا سیب زمینی گذاشته نشه و به جاش پیاز و قارچ بزارن که هیچ اهمیتی داده نشد و بصورت استاندارد خود ریتوران ارسال شد","استرامبولی مرغ و اسفناج پنیری"
"سروش","۳","مرغ گریل شده سرده اگر خاستین سفارش بدین باید اعلام کنین گرم باشه و اقلام سالاد محدود به کاهو و مرغ گریل سردو و چنتا دونه زیتون سیاه","سالاد سزار با مرغ گریل"
"پریسا","۵","کیفیت عالی ، تحویل سریع و بهموقع و مهمتر اینکه با نوشتن نوش جان و یه استیکر ساده روی فاکتور کلی حال و انرژی خوبی القا کردن ، سپاس","پیتزا مرغ (۳۰ سانتی‌ متری)"
"اميد","۵","پیشنهاد میکنم،که سس دیپ،جداگانه سرو بشود.","پیتزا کویین (۳۰ سانتی‌ متری)"
